school_name,school_uuid,reports_index,class_of,report_url,downloaded_on
ARIZONA,4,,2010,http://www.law2.arizona.edu/career/Statistics2010.pdf,2017-09-09
ARIZONA,4,,2009,http://www.law2.arizona.edu/career/Statistics2009.pdf,2017-09-09
ARIZONA STATE,3,,2016,https://law.asu.edu/sites/default/files/abadisclosures/summary-report-2016-graduates.pdf,2017-09-09
ARIZONA STATE,3,,2015,https://law.asu.edu/sites/default/files/multimedia/abadisclosures/employment-summary-2015_update.pdf,2017-09-09
ARIZONA STATE,3,,2014,https://law.asu.edu/sites/default/files/multimedia/abadisclosures/employment-questionnaire-2014.pdf,2017-09-09
ARIZONA STATE,3,,2013,N/A,N/A
ARIZONA STATE,3,,2012,N/A,N/A
ARIZONA STATE,3,,2011,N/A,N/A
ARIZONA STATE,3,,2010,N/A,N/A
ARIZONA SUMMIT,202,,2016,https://www.azsummitlaw.edu/userfiles/files/CareerPlacement_ASLS_EmploymentSummary-2016.pdf,2017-09-09
ARIZONA SUMMIT,202,,2015,https://www.azsummitlaw.edu/userfiles/files/ASLS%202015%20ABA%20Employment%20Summary.pdf,2017-09-09
ARIZONA SUMMIT,202,,2014,https://www.azsummitlaw.edu/sites/default/files/aba_summary_report_-_erss_2014_150402.pdf,2017-09-09
ARIZONA SUMMIT,202,,2013,N/A,N/A
ARIZONA SUMMIT,202,,2012,N/A,N/A
ARIZONA SUMMIT,202,,2011,N/A,N/A
ARIZONA SUMMIT,202,,2010,N/A,N/A
ARKANSAS - FAYETTEVILLE,5,,2016,https://law.uark.edu/_documents/509/EmploymentOutcomes2016.pdf,2017-09-09
ARKANSAS - FAYETTEVILLE,5,,2015,https://law.uark.edu/_documents/509/EmploymentOutcomes2015.pdf,2017-09-09
ARKANSAS - FAYETTEVILLE,5,,2014,https://law.uark.edu/_documents/509/EmploymentOutcomes2014.pdf,2017-09-09
ARKANSAS - FAYETTEVILLE,5,,2013,https://law.uark.edu/_documents/509/EmploymentSummary-2013.pdf,2017-09-09
ARKANSAS - FAYETTEVILLE,5,,2012,https://law.uark.edu/_documents/509/EmploymentSummary-2012.pdf,2017-09-09
ARKANSAS - FAYETTEVILLE,5,,2011,N/A,N/A
ARKANSAS - FAYETTEVILLE,5,,2010,N/A,N/A
ARKANSAS - LITTLE ROCK,6,,2016,http://ualr.edu/law/files/2010/09/ABA-Employment-Statistics-2016.pdf,2017-09-09
ARKANSAS - LITTLE ROCK,6,,2015,http://ualr.edu/law/files/2010/09/ABA-Employment-Summary-2015-Grads.pdf,2017-09-09
ARKANSAS - LITTLE ROCK,6,,2014,http://ualr.edu/law/files/2010/09/ABA-Employment-Summary-2014-Grads.pdf,2017-09-09
ARKANSAS - LITTLE ROCK,6,,2013,http://ualr.edu/law/files/2010/09/ABA-Employment-Summary-2013-Grads.pdf,2017-09-09
ARKANSAS - LITTLE ROCK,6,,2012,http://ualr.edu/law/files/2013/05/EmploymentSummary-2013.pdf,2017-09-09
ARKANSAS - LITTLE ROCK,6,,2011,N/A,N/A
ARKANSAS - LITTLE ROCK,6,,2010,N/A,N/A
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2016,http://www.johnmarshall.edu/wp-content/uploads/2017.0329-Employment-Questionnaire-Summary.pdf,2017-09-09
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2015,http://www.johnmarshall.edu/wp-content/uploads/EmploymentSummary-2016-Report-2015-Graduates.pdf,2017-09-09
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2014,http://www.johnmarshall.edu/wp-content/uploads/EmploymentQuestionnaireSummary-197-194-04-07-2015-10-19-40.pdf,2017-09-09
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2013,http://www.johnmarshall.edu/wp-content/uploads/EmploymentSummary-2014.pdf,2017-09-09
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2012,http://www.johnmarshall.edu/wp-content/uploads/EmploymentSummary-2013.pdf,2017-09-09
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2011,N/A,N/A
ATLANTA'S JOHN MARSHALL LAW SCHOOL,197,,2010,N/A,N/A
AVE MARIA SCHOOL OF LAW,193,,2016,https://www.avemarialaw.edu/wp-content/uploads/2015/11/PostGradEmployment2016.pdf,2017-09-09
AVE MARIA SCHOOL OF LAW,193,,2015,https://www.avemarialaw.edu/wp-content/uploads/2015/11/EmploymentQuestionnaireSummary-2015.pdf,2017-09-09
AVE MARIA SCHOOL OF LAW,193,,2014,https://www.avemarialaw.edu/wp-content/uploads/2015/11/EmploymentQuestionnaireSummary-193-190-04-07-2015-15-54-49.pdf,2017-09-09
AVE MARIA SCHOOL OF LAW,193,,2013,N/A,N/A
AVE MARIA SCHOOL OF LAW,193,,2012,N/A,N/A
AVE MARIA SCHOOL OF LAW,193,,2011,N/A,N/A
AVE MARIA SCHOOL OF LAW,193,,2010,N/A,N/A
BALTIMORE,67,,2016,http://law.ubalt.edu/about/Class2016_UPDATED2_ABAEmploymentSummary.pdf,2017-09-09
BALTIMORE,67,,2015,http://law.ubalt.edu/about/pdfs/Class2015_UPDATED2_ABAEmploymentData2016.pdf,2017-09-09
BALTIMORE,67,,2014,http://law.ubalt.edu/academics/images/ABA2015_FINAL_EQSummary_Class2014.pdf,2017-09-09
BALTIMORE,67,,2013,N/A,N/A
BALTIMORE,67,,2012,N/A,N/A
BALTIMORE,67,,2011,N/A,N/A
BALTIMORE,67,,2010,N/A,N/A
BARRY UNIVERSITY,192,,2016,https://barryustorage.blob.core.windows.net/assets/docs/law/employment-questionnaire-summary.pdf,2017-09-09
BARRY UNIVERSITY,192,,2015,https://barryustorage.blob.core.windows.net/assets/docs/law/employmentquestionnairesummary-2015.pdf,2017-09-09
BARRY UNIVERSITY,192,,2014,https://barryustorage.blob.core.windows.net/assets/docs/law/employmentquestionnairesummary2015.pdf,2017-09-09
BARRY UNIVERSITY,192,,2013,https://barryustorage.blob.core.windows.net/assets/docs/law/509djdclassof2013employmentprofile.pdf,2017-09-09
BARRY UNIVERSITY,192,,2012,https://barryustorage.blob.core.windows.net/assets/docs/law/employment-profile-2012.pdf,2017-09-09
BARRY UNIVERSITY,192,,2011,N/A,N/A
BARRY UNIVERSITY,192,,2010,N/A,N/A
BAYLOR,149,,2016,http://www.baylor.edu/content/services/document.php/285845.pdf,2017-09-09
BAYLOR,149,,2015,http://www.baylor.edu/content/services/document.php/262323.pdf,2017-09-09
BAYLOR,149,,2014,http://www.baylor.edu/content/services/document.php/242557.pdf,2017-09-09
BAYLOR,149,,2013,http://www.baylor.edu/content/services/document.php/226844.pdf,2017-09-09
BAYLOR,149,,2012,http://www.baylor.edu/content/services/document.php/197326.pdf,2017-09-09
BAYLOR,149,,2011,http://www.baylor.edu/content/services/document.php/179074.pdf,2017-09-09
BAYLOR,149,,2010,N/A,N/A
BELMONT UNIVERSITY,213,,2016,http://www.belmont.edu/law/images/employmentquestionnairesummary-213-2687-04-04-2017-14-55-38.pdf,2017-09-09
BELMONT UNIVERSITY,213,,2015,http://www.belmont.edu/law/pdf/Class2015-EmploymentStatsABA.pdf,2017-09-09
BELMONT UNIVERSITY,213,,2014,http://www.belmont.edu/law/pdf/Class2014-EmploymentStatsABA.pdf,2017-09-09
BELMONT UNIVERSITY,213,,2013,N/A,N/A
BELMONT UNIVERSITY,213,,2012,N/A,N/A
BELMONT UNIVERSITY,213,,2011,N/A,N/A
BELMONT UNIVERSITY,213,,2010,N/A,N/A
BOSTON COLLEGE,73,,2016,https://www.bc.edu/content/dam/bc1/schools/law/careers/employment/2016_BC_Law_ABA_EmploymentQuestionnaireSummary.pdf,2017-09-09
BOSTON COLLEGE,73,,2015,https://www.bc.edu/content/dam/bc1/schools/law/careers/employment/2015_aba_summary_report_bclaw.pdf,2017-09-09
BOSTON COLLEGE,73,,2014,https://www.bc.edu/content/dam/bc1/schools/law/careers/employment/2014%20ABA%20Employment%20Summary%20Report.pdf,2017-09-09
BOSTON COLLEGE,73,,2013,N/A,N/A
BOSTON COLLEGE,73,,2012,N/A,N/A
BOSTON COLLEGE,73,,2011,N/A,N/A
BOSTON COLLEGE,73,,2010,N/A,N/A
BOSTON UNIVERSITY,69,,2016,https://www.bu.edu/law/files/2017/04/Class-of-2016-Final-Summary-4.7.17.pdf,2017-09-09
BOSTON UNIVERSITY,69,,2015,https://www.bu.edu/law/files/2016/05/Employment-Questionnaire-Summary-Revised-FINAL-5.9.16.pdf,2017-09-09
BOSTON UNIVERSITY,69,,2014,https://www.bu.edu/law/files/2015/08/Classof2014ABAEmploymentQuestionnaireSummaryforwebsite.pdf,2017-09-09
BOSTON UNIVERSITY,69,,2013,N/A,N/A
BOSTON UNIVERSITY,69,,2012,N/A,N/A
BOSTON UNIVERSITY,69,,2011,N/A,N/A
BOSTON UNIVERSITY,69,,2010,N/A,N/A
BRIGHAM YOUNG,150,,2016,http://law.byu.edu/cso/files/2016_employ.pdf,2017-09-09
BRIGHAM YOUNG,150,,2015,http://law.byu.edu/cso/files/2015_employ.pdf,2017-09-09
BRIGHAM YOUNG,150,,2014,http://law.byu.edu/cso/files/2014_employ.pdf,2017-09-09
BRIGHAM YOUNG,150,,2013,N/A,N/A
BRIGHAM YOUNG,150,,2012,N/A,N/A
BRIGHAM YOUNG,150,,2011,N/A,N/A
BRIGHAM YOUNG,150,,2010,N/A,N/A
BROOKLYN,100,,2016,https://www.brooklaw.edu/-/media/PDF/Careers/2016_ABA_Employment_Summary.pdf?la=en&hash=6E97ACF68B01856A7E166881C1BC9139DCFB835C,2017-09-09
BROOKLYN,100,,2015,https://www.brooklaw.edu/-/media/PDF/Careers/2015_ABA_Employment_Summary.pdf?la=en&hash=51B6FB50C45D26609C168DC7F5FEAAE23AC2CC2E,2017-09-09
BROOKLYN,100,,2014,https://www.brooklaw.edu/-/media/PDF/Careers/2014_ABA_Employment_Summary.pdf?la=en&hash=FF5B83ACF394F0AAA6C0E51DE9E11ADC891E572A,2017-09-09
BROOKLYN,100,,2013,https://www.brooklaw.edu/-/media/PDF/Careers/2013_ABA_Employment_Summary.pdf?la=en&hash=BD947CAD9583E04A8CF27B7AF57BB5CE323B3091,2017-09-09
BROOKLYN,100,,2012,N/A,N/A
BROOKLYN,100,,2011,N/A,N/A
BROOKLYN,100,,2010,N/A,N/A
CALIFORNIA - BERKELEY,7,,2016,https://www.law.berkeley.edu/wp-content/uploads/2017/04/EmploymentQuestionnaireSummary-04-12-2017.pdf,2017-09-09
CALIFORNIA - BERKELEY,7,,2015,https://www.law.berkeley.edu/wp-content/uploads/2016/04/EmploymentQuestionnaireSummary-Class-of-2015.pdf,2017-09-09
CALIFORNIA - BERKELEY,7,,2014,https://www.law.berkeley.edu/wp-content/uploads/2015/04/Employment_Summary2014grads.pdf,2017-09-09
CALIFORNIA - BERKELEY,7,,2013,N/A,N/A
CALIFORNIA - BERKELEY,7,,2012,N/A,N/A
CALIFORNIA - BERKELEY,7,,2011,N/A,N/A
CALIFORNIA - BERKELEY,7,,2010,N/A,N/A
CALIFORNIA - DAVIS,8,,2016,https://law.ucdavis.edu/career-services/statistics/files/ABA-590.pdf,2017-09-09
CALIFORNIA - DAVIS,8,,2015,https://law.ucdavis.edu/career-services/statistics/files/ABA-509-1.pdf,2017-09-09
CALIFORNIA - DAVIS,8,,2014,https://law.ucdavis.edu/career-services/statistics/files/ABA-509-2.pdf,2017-09-09
CALIFORNIA - DAVIS,8,,2013,N/A,N/A
CALIFORNIA - DAVIS,8,,2012,N/A,N/A
CALIFORNIA - DAVIS,8,,2011,N/A,N/A
CALIFORNIA - DAVIS,8,,2010,N/A,N/A
CALIFORNIA - HASTINGS,16,,2016,http://www.uchastings.edu/about/consumer-info/2017EmploymentSummaryReport.pdf,2017-09-09
CALIFORNIA - HASTINGS,16,,2015,http://www.uchastings.edu/career-office/docs/ABA%20Summary%20for%20website.pdf,2017-09-09
CALIFORNIA - HASTINGS,16,,2014,http://www.uchastings.edu/about/consumer-info/docs/2014%20ABA%20Employment%20Summary.pdf,2017-09-09
CALIFORNIA - HASTINGS,16,,2013,http://www.uchastings.edu/about/consumer-info/docs/2014EmploymentSummaryReport.pdf,2017-09-09
CALIFORNIA - HASTINGS,16,,2012,http://www.uchastings.edu/about/consumer-info/docs/EmploymentSummary2012.pdf,2017-09-09
CALIFORNIA - HASTINGS,16,,2011,http://www.uchastings.edu/about/consumer-info/docs/EmploymentSummary2011.pdf,2017-09-09
CALIFORNIA - HASTINGS,16,,2010,N/A,N/A
CALIFORNIA - IRVINE,211,,2016,http://www.law.uci.edu/careers/students/employment-info/statistics/EmploymentSummary2016.pdf,2017-09-09
CALIFORNIA - IRVINE,211,,2015,http://www.law.uci.edu/careers/students/employment-info/statistics/EmploymentSummary2015.pdf,2017-09-09
CALIFORNIA - IRVINE,211,,2014,http://www.law.uci.edu/careers/students/employment-info/statistics/EmploymentSummary2014.pdf,2017-09-09
CALIFORNIA - IRVINE,211,,2013,N/A,N/A
CALIFORNIA - IRVINE,211,,2012,N/A,N/A
CALIFORNIA - IRVINE,211,,2011,N/A,N/A
CALIFORNIA - IRVINE,211,,2010,N/A,N/A
CALIFORNIA - LOS ANGELES,9,,2016,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/EmploymentQuestionnaireSummary-9-10-04-07-2017%2014-52-45.ashx,2017-09-09
CALIFORNIA - LOS ANGELES,9,,2015,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/ABA%20Employment%20Summary%20Class%20of%202015%20rev%20083116.ashx,2017-09-09
CALIFORNIA - LOS ANGELES,9,,2014,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/Class_of_2014_ABA_Employment_Summary.ashx,2017-09-09
CALIFORNIA - LOS ANGELES,9,,2013,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/Class_of_2013_ABA_Employment_Summary.ashx,2017-09-09
CALIFORNIA - LOS ANGELES,9,,2012,N/A,N/A
CALIFORNIA - LOS ANGELES,9,,2011,N/A,N/A
CALIFORNIA - LOS ANGELES,9,,2010,N/A,N/A
CALIFORNIA WESTERN,14,,2016,https://www.cwsl.edu/-/media/files/career-and-professional-development/aba_employment_summary_2016.ashx?la=en,2017-09-09
CALIFORNIA WESTERN,14,,2015,https://www.cwsl.edu/-/media/files/career-and-professional-development/aba_employment_survey_summary_sheet_classof2015.ashx?la=en,2017-09-09
CALIFORNIA WESTERN,14,,2014,https://www.cwsl.edu/-/media/files/career-and-professional-development/final_erss_summarysheet_classof2014.ashx?la=en,2017-09-09
CALIFORNIA WESTERN,14,,2013,https://www.cwsl.edu/-/media/files/career-and-professional-development/2013_erss_summary-sheet.ashx?la=en,2017-09-09
CALIFORNIA WESTERN,14,,2012,https://www.cwsl.edu/-/media/files/career-and-professional-development/2012_erss_summary_sheet.ashx?la=en,2017-09-09
CALIFORNIA WESTERN,14,,2011,https://www.cwsl.edu/-/media/files/career-and-professional-development/final_2011_erss_summary-sheet.ashx?la=en,2017-09-09
CALIFORNIA WESTERN,14,,2010,https://www.cwsl.edu/-/media/files/career-and-professional-development/final_2010_erss_summary_sheet_62712.ashx?la=en,2017-09-09
CAMPBELL,169,,2016,https://assets.campbell.edu/wp-content/uploads/sites/9/2017/05/abasummary16.pdf,2017-09-09
CAMPBELL,169,,2015,https://assets.campbell.edu/wp-content/uploads/sites/9/2017/04/abasummary15.pdf,2017-09-09
CAMPBELL,169,,2014,https://assets.campbell.edu/wp-content/uploads/sites/9/2017/04/abasummary14.pdf,2017-09-09
CAMPBELL,169,,2013,https://assets.campbell.edu/wp-content/uploads/sites/9/2017/04/ABA_Summary_Report_for_Class_of_2013.pdf,2017-09-09
CAMPBELL,169,,2012,N/A,N/A
CAMPBELL,169,,2011,N/A,N/A
CAMPBELL,169,,2010,N/A,N/A
CAPITAL,118,,2016,http://law.capital.edu/WorkArea/DownloadAsset.aspx?id=36846,2017-09-09
CAPITAL,118,,2015,http://law.capital.edu/WorkArea/DownloadAsset.aspx?id=36077,2017-09-09
CAPITAL,118,,2014,http://law.capital.edu/WorkArea/DownloadAsset.aspx?id=35036,2017-09-09
CAPITAL,118,,2013,http://law.capital.edu/WorkArea/DownloadAsset.aspx?id=33327,2017-09-09
CAPITAL,118,,2012,http://law.capital.edu/WorkArea/DownloadAsset.aspx?id=30179,2017-09-09
CAPITAL,118,,2011,http://law.capital.edu/2011ABASummaryReport/,2017-09-09
CAPITAL,118,,2010,http://law.capital.edu/2010ABASummaryReport/,2017-09-09
CARDOZO,168,,2016,https://cardozo.yu.edu/sites/default/files/EmploymentSummary-2017.pdf,2017-09-09
CARDOZO,168,,2015,https://cardozo.yu.edu/sites/default/files/Employment%20Questionnaire%20Summary%202015_0.pdf,2017-09-09
CARDOZO,168,,2014,https://cardozo.yu.edu/sites/default/files/Cardozo%202014%20Employment%20Summary.pdf,2017-09-09
CARDOZO,168,,2013,https://cardozo.yu.edu/sites/default/files/CardozoEmploymentSummary2013_5.jpg,2017-09-09
CARDOZO,168,,2012,https://cardozo.yu.edu/sites/default/files/Placement-Summary-3-29-2013-1_0.jpg,2017-09-09
CARDOZO,168,,2011,N/A,N/A
CARDOZO,168,,2010,N/A,N/A
CASE WESTERN RESERVE,117,,2016,http://law.case.edu/Portals/0/Documents/ABA_Employment_Summary_Class_of_2016.pdf,2017-09-09
CASE WESTERN RESERVE,117,,2015,http://law.case.edu/Portals/0/Documents/ABA_Employment_Summary_Class_of_2015.pdf,2017-09-09
CASE WESTERN RESERVE,117,,2014,http://law.case.edu/Portals/0/Documents/ABA_Employment_Summary_Class_of_2014.pdf,2017-09-09
CASE WESTERN RESERVE,117,,2013,N/A,N/A
CASE WESTERN RESERVE,117,,2012,N/A,N/A
CASE WESTERN RESERVE,117,,2011,N/A,N/A
CASE WESTERN RESERVE,117,,2010,N/A,N/A
CATHOLIC UNIVERSITY OF AMERICA,29,,2016,http://www.law.edu/res/docs/2017-EmploymentClassof2016.pdf,2017-09-09
CATHOLIC UNIVERSITY OF AMERICA,29,,2015,http://www.law.edu/res/docs/ABAEmploymentSummaryfor2015Graduates.pdf,2017-09-09
CATHOLIC UNIVERSITY OF AMERICA,29,,2014,http://www.law.edu/res/docs/EmploymentQuestionnaireSummary.pdf,2017-09-09
CATHOLIC UNIVERSITY OF AMERICA,29,,2013,N/A,N/A
CATHOLIC UNIVERSITY OF AMERICA,29,,2012,N/A,N/A
CATHOLIC UNIVERSITY OF AMERICA,29,,2011,N/A,N/A
CATHOLIC UNIVERSITY OF AMERICA,29,,2010,N/A,N/A
CHAPMAN,186,,2016,https://www.chapman.edu/law/_files/careers/aba-employment-summary-16-15-14.pdf,2017-09-09
CHAPMAN,186,,2015,https://www.chapman.edu/law/_files/careers/aba-employment-summary-16-15-14.pdf,2017-09-09
CHAPMAN,186,,2014,https://www.chapman.edu/law/_files/careers/aba-employment-summary-16-15-14.pdf,2017-09-09
CHAPMAN,186,,2013,N/A,N/A
CHAPMAN,186,,2012,N/A,N/A
CHAPMAN,186,,2011,N/A,N/A
CHAPMAN,186,,2010,N/A,N/A
CHARLESTON,201,,2016,http://charlestonlaw.edu/wp-content/uploads/2017/07/EmploymentSummary-2016.pdf,2017-09-09
CHARLESTON,201,,2015,N/A - BROKEN,N/A
CHARLESTON,201,,2014,http://charlestonlaw.edu/wp-content/uploads/2017/07/EmploymentSummary-2014.pdf,2017-09-09
CHARLESTON,201,,2013,http://charlestonlaw.edu/wp-content/uploads/2017/07/EmploymentSummary-2013.pdf,2017-09-09
CHARLESTON,201,,2012,http://charlestonlaw.edu/wp-content/uploads/2017/05/CSOL-Class-of-2012-ABA-Summary-Report.pdf,2017-09-09
CHARLESTON,201,,2011,N/A,N/A
CHARLESTON,201,,2010,N/A,N/A
CHICAGO,50,,2016,https://www.law.uchicago.edu/files/file/aba_employment_summary_class_of_2016_final.pdf,2017-09-09
CHICAGO,50,,2015,https://www.law.uchicago.edu/files/file/abaemploymentsummaryclassof2015v2.pdf,2017-09-09
CHICAGO,50,,2014,https://www.law.uchicago.edu/files/file/abaemploymentsummaryclassof2014.pdf,2017-09-09
CHICAGO,50,,2013,https://www.law.uchicago.edu/files/file/abaemploymentsummaryclassof2013.pdf,2017-09-09
CHICAGO,50,,2012,N/A,N/A
CHICAGO,50,,2011,N/A,N/A
CHICAGO,50,,2010,N/A,N/A
CHICAGO-KENT,45,,2016,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Handouts/Chicago-Kent%202016%20ABA%20Stats.pdf,2017-09-09
CHICAGO-KENT,45,,2015,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Chicago-Kent%202015%20ABA%20Employment%20Summary.pdf,2017-09-09
CHICAGO-KENT,45,,2014,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Handouts/C-K_ABA_EmploymentQuestionnaireSummary-REV-04-27-2015(0).pdf,2017-09-09
CHICAGO-KENT,45,,2013,http://www.kentlaw.iit.edu/Documents/Departments/Career%20Services/Handouts/ABAEmploymentSummaryFINAL2013.pdf,2017-09-09
CHICAGO-KENT,45,,2012,N/A,N/A
CHICAGO-KENT,45,,2011,N/A,N/A
CHICAGO-KENT,45,,2010,N/A,N/A
CINCINNATI,115,,2016,https://www.law.uc.edu/sites/default/files/ABAEmployment-Statistics-2016.pdf,2017-09-09
CINCINNATI,115,,2015,https://www.law.uc.edu/sites/default/files/2015EmploymentQuestionnaireSummary-115-1259-04-06-2016%2015-29-18.pdf,2017-09-09
CINCINNATI,115,,2014,https://www.law.uc.edu/sites/default/files/ABA%202014%20Employment%20Outcomes%20Chart.pdf,2017-09-09
CINCINNATI,115,,2013,https://www.law.uc.edu/sites/default/files/ABA%20Employment%20Summary%2003%2017%2014.pdf,2017-09-09
CINCINNATI,115,,2012,https://www.law.uc.edu/sites/default/files/EmploymentSummary-2013%20%281%29.pdf,2017-09-09
CINCINNATI,115,,2011,N/A,N/A
CINCINNATI,115,,2010,N/A,N/A
CITY UNIVERSITY OF NEW YORK,176,,2016,http://www.law.cuny.edu/career/employment-statistics/employment-summary2016-class.pdf,2017-09-09
CITY UNIVERSITY OF NEW YORK,176,,2015,http://www.law.cuny.edu/career/employment-statistics/employmentsurmmary2015classfinal.pdf,2017-09-09
CITY UNIVERSITY OF NEW YORK,176,,2014,http://www.law.cuny.edu/career/employment-statistics/Employment-Questionnaire-Summary-2014-06012015.pdf,2017-09-09
CITY UNIVERSITY OF NEW YORK,176,,2013,http://www.law.cuny.edu/career/employment-statistics/ABA-Employment-Summary-Class-of-2013.pdf,2017-09-09
CITY UNIVERSITY OF NEW YORK,176,,2012,http://www.law.cuny.edu/career/employment-statistics/ABA-Employment-Summary-2012.pdf,2017-09-09
CITY UNIVERSITY OF NEW YORK,176,,2011,N/A,N/A
CITY UNIVERSITY OF NEW YORK,176,,2010,N/A,N/A
CLEVELAND STATE,116,,2016,https://www.law.csuohio.edu/sites/default/files/careerplanning/final_cmlaw_employmentsummary-2017.pdf,2017-09-09
CLEVELAND STATE,116,,2015,https://www.law.csuohio.edu/sites/default/files/careerplanning/eq_report-no_watermark.pdf,2017-09-09
CLEVELAND STATE,116,,2014,https://www.law.csuohio.edu/sites/default/files/careerplanning/employmentquestionnairesummary-final-7.24.15.pdf,2017-09-09
CLEVELAND STATE,116,,2013,https://www.law.csuohio.edu/sites/default/files/careerplanning/aba-summary-report-final-4.30.14.pdf,2017-09-09
CLEVELAND STATE,116,,2012,https://www.law.csuohio.edu/sites/default/files/careerplanning/aba2012employmentsummary.pdf,2017-09-09
CLEVELAND STATE,116,,2011,N/A,N/A
