SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
ATLANTA'S JOHN MARSHALL LAW SHOOL,93,1,5,5,104,44,4,19,6,73,13,0,3,0,16,3,0,1,1,5,0,0,1,1,2,3,0,18,12,1,234,0,0,0,2,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17,0,0,0,17,65,0,15,5,85,4,0,0,0,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,36,3,8,2,49,21,2,3,2,28,3,0,0,3,6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,1,0,4,0,0,1,1,2,153,5,29,13,200,Georgia,166,Florida,8,Texas,7,1
AVE MARIA SCHOOL OF LAW,55,1,2,2,60,22,2,6,0,30,7,0,4,2,13,0,0,6,2,8,0,0,0,0,0,3,1,1,41,2,159,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,2,0,9,22,0,3,0,25,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,1,0,0,8,14,1,10,3,28,15,1,1,2,19,4,0,0,0,4,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,2,0,2,0,4,0,0,0,1,1,84,3,18,6,111,Florida,62,New York,7,Illinois,5,1
"BALTIMORE, UNIVERSITY OF",149,4,3,2,158,62,5,7,10,84,12,0,1,1,14,1,1,0,2,4,0,0,0,0,0,6,0,4,37,4,311,0,3,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,1,0,1,0,2,50,0,5,6,61,10,0,1,0,11,5,2,0,0,7,4,0,0,0,4,7,0,0,0,7,2,0,0,0,2,7,0,0,0,7,2,0,0,0,2,31,3,1,2,37,40,2,1,2,45,9,3,1,1,14,0,0,0,0,0,47,0,0,0,47,0,0,0,0,0,9,0,1,4,14,0,0,0,0,0,224,10,11,15,260,Maryland,210,District of Columbia,17,Virginia,12,0
BARRY UNIVERSITY,80,0,0,3,83,16,2,4,1,23,9,0,0,3,12,0,0,0,0,0,1,1,0,0,2,6,1,2,29,43,201,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,14,0,1,0,15,37,0,0,1,38,3,0,0,0,3,2,0,0,0,2,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,2,1,2,16,22,0,0,0,22,1,0,2,2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,2,6,2,1,0,0,3,106,3,4,7,120,Florida,103,District Of Columbia,2,Missouri,2,0
BAYLOR UNIVERSITY,125,2,5,3,135,5,2,2,0,9,5,0,0,0,5,2,0,1,0,3,0,0,0,0,0,1,4,7,12,0,176,1,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,6,0,0,0,6,47,2,2,1,52,18,0,1,0,19,9,0,0,0,9,8,0,0,0,8,4,0,0,0,4,4,0,0,0,4,5,0,0,0,5,0,0,0,0,0,13,2,1,1,17,16,0,1,1,18,1,0,0,0,1,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,137,4,8,3,152,Texas,135,Michigan,2,Oklahoma,2,0
BELMONT UNIVERSITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,135,Michigan,2,Oklahoma,2,0
BOSTON COLLEGE,163,2,5,4,174,18,1,5,9,33,12,0,0,1,13,0,0,2,0,2,0,0,0,0,0,5,2,3,21,0,253,0,0,0,4,4,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1,0,0,0,1,17,0,8,1,26,10,1,0,0,11,6,0,0,0,6,11,0,0,0,11,26,0,0,0,26,8,0,0,0,8,41,0,0,0,41,0,0,0,0,0,22,1,4,0,27,21,1,0,0,22,6,0,0,4,10,11,0,0,0,11,13,0,0,0,13,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,193,3,12,14,222,Massachusetts,119,New York,30,Rhode Island,8,2
BOSTON UNIVERSITY,187,7,1,28,223,13,1,1,1,16,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,4,7,3,17,4,278,17,0,0,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,24,41,1,0,0,0,1,17,1,0,3,21,11,0,1,0,12,5,0,0,0,5,7,0,0,0,7,12,0,0,0,12,8,0,0,0,8,47,0,0,0,47,0,0,0,0,0,24,3,2,5,34,29,2,0,12,43,25,2,0,9,36,7,0,0,0,7,8,0,0,0,8,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,203,8,3,29,243,Massachusetts,116,New York,41,California,14,5
BRIGHAM YOUNG UNIVERSITY,95,1,7,9,112,17,0,1,0,18,1,2,1,0,4,0,0,1,0,1,0,0,0,0,0,2,0,4,6,0,147,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,2,26,0,5,1,32,5,0,0,0,5,9,0,0,0,9,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,9,0,0,0,9,0,0,0,0,0,21,1,4,0,26,12,1,1,6,20,1,0,0,2,3,4,0,0,0,4,14,0,0,0,14,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,113,3,10,9,135,Utah,67,Texas,12,California,11,0
BROOKLYN LAW SCHOOL,274,26,5,11,316,56,14,0,4,74,29,1,1,0,31,1,0,0,0,1,1,0,0,0,1,3,0,5,39,8,478,0,18,0,8,26,0,5,0,2,7,0,0,0,0,0,0,0,0,0,0,0,23,0,10,33,4,0,0,0,4,57,5,4,1,67,25,0,1,0,26,11,1,0,0,12,12,0,0,0,12,13,0,0,0,13,4,0,0,0,4,36,2,0,0,38,1,0,0,0,1,92,10,0,1,103,51,9,0,4,64,24,12,0,5,41,14,0,0,0,14,12,0,0,1,13,0,1,0,1,2,2,0,1,1,4,3,1,0,1,5,361,41,6,15,423,New York,363,New Jersey,19,California,9,3
CALIFORNIA WESTERN SCHOOL OF LAW,99,11,3,10,123,18,7,2,3,30,5,0,1,0,6,2,0,0,1,3,0,0,0,0,0,4,1,14,100,0,281,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,11,47,10,5,7,69,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,29,5,1,7,42,20,1,0,0,21,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,124,18,6,14,162,California,123,Arizona,4,Nevada,4,1
"CALIFORNIA-BERKELEY, UNIVERSITY OF",261,4,1,0,266,11,0,0,0,11,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,7,0,3,9,2,301,25,3,0,0,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,3,0,0,29,0,0,1,0,1,6,0,0,0,6,9,0,0,0,9,5,0,0,0,5,3,0,0,0,3,13,0,0,0,13,23,0,0,0,23,108,0,0,0,108,0,0,0,0,0,7,0,0,1,8,27,0,0,0,27,36,4,0,1,41,24,0,0,0,24,6,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,273,4,1,2,280,California,185,New York,34,District of Columbia,21,4
"CALIFORNIA-DAVIS, UNIVERSITY OF",138,0,3,3,144,6,0,1,20,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,16,6,196,10,0,0,0,10,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,10,0,0,20,30,1,0,2,1,4,36,0,1,0,37,13,0,0,0,13,3,0,0,0,3,3,0,0,0,3,9,0,0,0,9,3,0,0,0,3,16,0,0,0,16,0,0,0,2,2,13,0,0,0,13,25,0,0,0,25,9,0,0,0,9,4,0,0,0,4,7,0,0,0,7,0,0,0,0,0,2,0,0,20,22,0,0,2,0,2,144,0,5,23,172,California,150,Texas,4,District of Columbia,3,3
"CALIFORNIA-HASTINGS, UNIVERSITY OF",160,52,12,15,239,16,2,1,0,19,3,0,0,1,4,1,0,2,1,4,0,0,0,0,0,4,5,11,85,2,373,2,31,1,12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,1,12,46,5,0,0,0,5,31,6,8,0,45,6,0,0,0,6,8,3,1,1,13,7,0,0,0,7,5,0,0,0,5,4,0,0,0,4,41,0,0,0,41,0,0,0,0,0,24,5,5,3,37,28,26,0,4,58,9,14,0,7,30,6,0,0,0,6,5,0,0,0,5,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,180,54,15,17,266,California,234,District of Columbia,7,Colorado,2,2
"CALIFORNIA-IRVINE, UNIVERSITY OF",54,0,1,0,55,2,1,0,0,3,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,18,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,1,0,1,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,12,0,0,0,12,0,0,0,0,0,4,0,0,0,4,9,1,0,0,10,3,0,0,0,3,15,0,0,0,15,1,0,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,59,2,1,0,62,CALIFORNIA,50,US TERRITORIES,2,ARIZONA,1,0
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",252,6,7,14,279,21,1,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,18,1,332,31,0,0,11,42,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,11,45,1,0,0,0,1,32,1,5,2,40,10,0,0,0,10,6,0,0,0,6,3,1,0,0,4,14,0,0,0,14,7,0,0,0,7,87,0,0,0,87,0,0,0,0,0,25,2,3,1,31,24,2,0,6,32,31,1,0,3,35,23,0,0,0,23,4,0,0,1,5,2,0,0,0,2,4,0,0,1,5,0,0,0,0,0,273,7,8,14,302,California,255,New York,14,District Of Columbia,8,3
CAMPBELL UNIVERSITY,75,22,0,0,97,8,3,0,0,11,6,4,0,0,10,0,1,0,3,4,0,0,0,0,0,1,0,3,9,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,31,3,0,0,34,4,0,0,0,4,5,0,0,0,5,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,3,41,14,1,0,0,15,5,0,0,0,5,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,89,30,0,3,122,North Carolina,110,South Carolina,3,District Of Columbia,2,0
CAPITAL UNIVERSITY,82,6,0,1,89,20,4,2,1,27,17,1,1,0,19,1,0,0,0,1,0,0,0,0,0,0,0,1,16,32,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,36,3,0,0,39,5,2,0,0,7,2,0,0,0,2,3,0,0,0,3,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,31,2,0,1,34,21,4,3,1,29,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,11,3,2,136,Ohio,126,Colorado,2,West Virginia,2,0
CARDOZO SCHOOL OF LAW,216,5,11,19,251,29,5,1,3,38,9,2,3,3,17,3,0,1,1,5,0,0,0,0,0,5,14,29,38,1,398,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,48,1,9,4,62,16,0,0,0,16,9,0,0,0,9,11,0,0,0,11,11,0,0,0,11,13,0,0,0,13,30,1,0,0,31,0,0,0,0,0,60,4,7,8,79,20,3,0,7,30,24,2,0,7,33,4,0,0,0,4,10,1,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,257,12,16,26,311,New York,250,New Jersey,24,California,9,4
CASE WESTERN RESERVE UNIVERSITY,139,7,3,21,170,25,3,2,0,30,3,0,0,1,4,2,0,0,0,2,0,0,0,0,0,6,0,2,18,0,232,0,0,0,18,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,19,3,0,1,0,4,29,0,2,2,33,15,1,0,0,16,12,0,1,0,13,3,0,0,0,3,9,0,0,0,9,6,0,0,0,6,9,0,0,0,9,0,1,0,0,1,34,3,0,4,41,25,3,0,4,32,10,2,0,11,23,3,0,0,0,3,7,0,0,1,8,0,0,0,0,0,3,0,1,0,4,1,0,0,0,1,169,10,5,22,206,Ohio,117,District of Columbia,13,New York,10,7
